RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_sDVeg_	_sVegHeight_	_sDBent_	_sDRootPhra_	_sDShootPhra_	_sNH4WEpi_	_sNO3WEpi_	_sPO4WEpi_	_sPAIMWEpi_	_sSiO2WEpi_	_sO2WEpi_	_sDDetWEpi_	_sDIMWEpi_	_sDDiatWEpi_	_sDGrenWEpi_	_sDBlueWEpi_	_sDZooEpi_	_sDExtTotT_	_uDepthWEpi_	_uDepthWHyp_	_oO2WHyp_	_uVegHeight_	_oPTotWHyp_	_uPLoad_	_tPDifPO4Hyp_	_aDVeg_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	370	2	2.40974	0.678869	0.000257345	0.0835856	2	2.00178	5000	1000	0.130322	0.0500358	0.00722565	0.000100541	8.09864	24.3976	11.3191	2.71264	0.0404298	0.0145261	7.24739	0.343766	33584.6	2	0.01	6.91704	2	0.921244	0.001	0	0.0835953	6.70064	0.647124	0.139605	37.1779	-5.09317e-011	-1.7053e-013	4.26326e-014	4.9738e-014	0	-1
0	380	2	2.42389	0.654327	0.000261954	0.083306	2	2.06528	5000	1000	0.146456	0.0807729	0.0131557	9.8155e-005	8.10727	24.7777	10.8126	2.65572	0.0412681	0.0156956	6.51247	0.328117	33584.4	2	0.01	6.91704	2	0.921244	0.001	0	0.0833032	6.70064	0.695186	0.132325	32.8314	-5.82077e-011	-2.27374e-013	3.55271e-014	4.9738e-014	0	-1
0	390	2	2.43737	0.631457	0.000266522	0.0839188	2	2.12505	5000	1000	0.154722	0.114907	0.0190601	9.68693e-005	8.10216	25.0105	10.3875	2.61954	0.0527237	0.0181132	5.92965	0.311962	33584.5	2	0.01	6.91704	2	0.921244	0.001	0	0.0839011	6.70064	0.738725	0.126363	29.6708	-6.54836e-011	-3.41061e-013	4.9738e-014	4.9738e-014	0	-1
0	400	2	2.45483	0.606169	0.000271667	0.0856749	2	2.1865	5000	1000	0.156764	0.150987	0.0242921	9.71745e-005	8.08437	25.1055	10.0234	2.6216	0.095759	0.0233727	5.43099	0.297712	33585.1	2	0.01	6.91704	2	0.921244	0.001	0	0.0856388	6.70064	0.778487	0.121061	27.3498	-5.82077e-011	-3.97904e-013	4.9738e-014	4.9738e-014	0	-1
0	410	2	2.47408	0.584786	0.000275927	0.0880618	2	2.22991	5000	1000	0.153571	0.171907	0.0265285	9.89571e-005	8.05236	25.0809	9.83821	2.66165	0.214806	0.0318096	5.15196	0.294272	33586.1	2	0.01	6.91704	2	0.921244	0.001	0	0.0880212	6.70064	0.796805	0.117717	26.5868	-6.54836e-011	-3.97904e-013	4.9738e-014	5.68434e-014	0	-1
0	420	2	2.50064	0.563216	0.000280021	0.0912434	2	2.26006	5000	1000	0.145068	0.168004	0.0245341	0.00010241	7.95902	25.1245	9.82088	2.74542	0.641718	0.0473416	5.03367	0.311256	33588	2	0.01	6.91704	2	0.921244	0.001	0	0.0911909	6.70064	0.783335	0.115265	27.9857	-6.54836e-011	-3.97904e-013	2.84217e-014	4.26326e-014	0	-1
0	430	2	2.53531	0.544226	0.000283546	0.0945812	2	2.26816	5000	1000	0.127284	0.102976	0.0143261	0.000107479	7.64848	25.7237	10.1184	2.87605	2.07097	0.0713176	5.10032	0.390558	33591.8	2	0.01	6.91704	2	0.921244	0.001	0	0.0945266	6.70064	0.707241	0.113123	34.987	-6.54836e-011	-3.41061e-013	3.55271e-014	4.9738e-014	0	-1
0	440	2	2.58665	0.537274	0.000286774	0.0974425	2	2.24266	5000	1000	0.0610432	0.0108314	0.00373411	0.000115925	6.75256	26.985	11.3955	3.09188	5.47091	0.0937314	5.23585	0.772807	33599.5	2	0.01	6.91704	2	0.921244	0.001	0	0.0974121	6.70064	0.564362	0.109577	53.4088	-5.82077e-011	-4.54747e-013	4.9738e-014	6.39488e-014	0	-1
0	450	2	2.64443	0.59186	0.000288874	0.0993542	2	2.17983	5000	1000	0.0506185	0.00745094	0.00382245	0.00012717	5.90157	26.5478	14.1799	3.36019	6.06882	0.0734715	5.08382	1.83607	33605.5	2	0.01	6.91704	2	0.921244	0.001	0	0.0993012	6.70064	0.511776	0.104617	56.7789	-7.27596e-011	-3.97904e-013	3.55271e-014	6.39488e-014	0	-1
0	460	2	2.71607	0.780631	0.000290282	0.111596	2	2.06042	5000	1000	0.0975222	0.0137341	0.00825844	0.000143477	5.28763	25.1551	17.7687	3.74425	3.43578	0.0270633	4.48164	3.52853	33608.2	2	0.01	6.91704	2	0.921244	0.001	0	0.111238	6.70064	0.536539	0.0991796	40.3253	-7.27596e-011	-3.97904e-013	4.9738e-014	4.9738e-014	0	-1
