time	sDepthWN0	sDFiAdN0	sDepthWN1	sDFiAdN1	sDepthWN2	sDFiAdN2	sDepthWN3	sDFiAdN3	sDepthWN4	sMixDepthWN4	sDFiAdN4	sDepthWN5	sDFiAdN5	sDepthWN6	sDFiAdN6	sDepthWN7	sDFiAdN7	sDepthWN8	sDFiAdN8	sDepthWN9	sDFiAdN9	sDepthWN10	sDFiAdN10	sDepthWN11	sDFiAdN11	sDepthWN110	sDFiAdN110
18106	3	2.315088	1.2	3.052281174	1.5	3.44093516	1.5	3.129978506	1.5	0	3.092917902	3	2.315088	3	2.315088	3	2.315088	3	2.315088	3	2.315088	3	2.315088	3	2.315088	3	2.315088
18107	3	2.298943864	1.2	3.048877041	1.5	3.444164335	1.5	3.128416293	1.5	0	3.090453561	3	2.298943864	3	2.298943864	3	2.298943864	3	2.298943864	3	2.298943864	3	2.298943864	3	2.298943864	3	2.298943864
18108	3	2.28361894	1.2	3.046170015	1.5	3.448027146	1.5	3.127507215	1.5	0	3.088626965	3	2.28361894	3	2.28361894	3	2.28361894	3	2.28361894	3	2.28361894	3	2.28361894	3	2.28361894	3	2.28361894
18109	3	2.269120315	1.2	3.044144547	1.5	3.452504895	1.5	3.127236785	1.5	0	3.087424593	3	2.269120315	3	2.269120315	3	2.269120315	3	2.269120315	3	2.269120315	3	2.269120315	3	2.269120315	3	2.269120315
18110	3	2.25545468	1.2	3.042785211	1.5	3.457579089	1.5	3.127590618	1.5	0	3.086833017	3	2.25545468	3	2.25545468	3	2.25545468	3	2.25545468	3	2.25545468	3	2.25545468	3	2.25545468	3	2.25545468
18111	3	2.242628287	1.2	3.042076709	1.5	3.46323144	1.5	3.128554425	1.5	0	3.0868389	3	2.242628287	3	2.242628287	3	2.242628287	3	2.242628287	3	2.242628287	3	2.242628287	3	2.242628287	3	2.242628287
18112	3	2.23064691	1.2	3.042003859	1.5	3.469443868	1.5	3.130114014	1.5	0	3.087428994	3	2.23064691	3	2.23064691	3	2.23064691	3	2.23064691	3	2.23064691	3	2.23064691	3	2.23064691	3	2.23064691
18113	3	2.219515804	1.2	3.042551601	1.5	3.4761985	1.5	3.132255286	1.5	0	3.088590137	3	2.219515804	3	2.219515804	3	2.219515804	3	2.219515804	3	2.219515804	3	2.219515804	3	2.219515804	3	2.219515804
18114	3	2.209239673	1.2	3.043704983	1.5	3.483477672	1.5	3.134964235	1.5	0	3.090309249	3	2.209239673	3	2.209239673	3	2.209239673	3	2.209239673	3	2.209239673	3	2.209239673	3	2.209239673	3	2.209239673
18115	3	2.199822637	1.2	3.04544917	1.5	3.491263934	1.5	3.13822694	1.5	0	3.092573331	3	2.199822637	3	2.199822637	3	2.199822637	3	2.199822637	3	2.199822637	3	2.199822637	3	2.199822637	3	2.199822637
